"","Name","Sales"
"1","Wii Sports",82.74
"2","Grand Theft Auto V",55.92
"3","Super Mario Bros.",45.31
"4","Tetris",35.84
"5","Mario Kart Wii",35.82
"6","Wii Sports Resort",33
"7","Pokemon Red/Pokemon Blue",31.37
"8","Call of Duty: Modern Warfare 3",30.83
"9","New Super Mario Bros.",30.01
"10","Call of Duty: Black Ops II",29.72
"11","Call of Duty: Black Ops",29.4
"12","Wii Play",29.02
"13","New Super Mario Bros. Wii",28.62
"14","Duck Hunt",28.31
"15","Call of Duty: Ghosts",27.38
"16","Super Mario World",26.07
"17","Call of Duty: Black Ops 3",25.32
"18","Call of Duty: Modern Warfare 2",25.09
"19","Nintendogs",24.76
"20","Grand Theft Auto: San Andreas",23.86
"21","Minecraft",23.73
"22","Mario Kart DS",23.42
"23","Pokemon Gold/Pokemon Silver",23.1
"24","Wii Fit",22.72
"25","Super Mario Bros. 3",22.48
"26","Grand Theft Auto IV",22.47
"27","Super Mario 64",22.31
"28","Wii Fit Plus",22
"29","Call of Duty: Advanced Warfare",21.9
"30","Kinect Adventures!",21.82
"31","Brain Age: Train Your Brain in Minutes a Day",20.22
"32","The Elder Scrolls V: Skyrim",19.28
"33","FIFA 15",19.02
"34","Pokemon Diamond/Pokemon Pearl",18.36
"35","Call of Duty 4: Modern Warfare",18.25
"36","Super Mario Land",18.14
"37","Battlefield 3",17.36
"38","FIFA 14",17.14
"39","FIFA 16",16.44
"40","Guitar Hero III: Legends of Rock",16.4
"41","Grand Theft Auto: Vice City",16.19
"42","FIFA Soccer 13",16.16
"43","Call of Duty: World at War",15.87
"44","Pokemon Ruby/Pokemon Sapphire",15.85
"45","LEGO Star Wars: The Complete Saga",15.75
"46","The Sims 3",15.45
"47","Pokemon Black/Pokemon White",15.32
"48","Brain Age 2: More Training in Minutes a Day",15.3
"49","Gran Turismo 3: A-Spec",14.98
"50","Pokémon Yellow: Special Pikachu Edition",14.64
"51","Pokemon X/Pokemon Y",14.35
"52","Need for Speed: Most Wanted",14.08
"53","Battlefield 4",14.03
"54","Donkey Kong Country",13.53
"55","Mario & Sonic at the Olympic Games",13.2
"56","Assassin's Creed IV: Black Flag",13.16
"57","FIFA 12",13.15
"58","Grand Theft Auto III",13.11
"59","Assassin's Creed III",13.1
"60","Super Smash Bros. Brawl",13.04
